name,address,city,state
Gavilan College,5055 Santa Teresa Blvd,Gilroy,California
Glendale Community College,1500 N Verdugo Rd,Glendale,California
Golden Gate University-San Francisco,536 Mission Street,San Francisco,California
Golden West College,15744 Goldenwest St.,Huntington Beach,California
Graduate Theological Union,2400 Ridge Rd,Berkeley,California
Grossmont-Cuyamaca Community College District,8800 Grossmont College Dr,El Cajon,California
Grossmont College,8800 Grossmont College Dr,El Cajon,California
Hartnell College,411 Central Avenue,Salinas,California
Harvey Mudd College,301 Platt Blvd.,Claremont,California
Heald College-Rancho Cordova,2910 Prospect Park Dr,Rancho Cordova,California
Heald College-Fresno,255 W Bullard,Fresno,California
Heald College-San Jose,341 Great Mall Pky,Milpitas,California
Heald College-San Francisco,875 Howard Street Suite 100,San Francisco,California
Heald College-Concord,5130 Commercial Circle,Concord,California
Holy Names University,3500 Mountain Blvd,Oakland,California
Pacifica Graduate Institute,249 Lambert Rd,Carpinteria,California
Humboldt State University,1 Harpst Street,Arcata,California
Humphreys College-Stockton and Modesto Campuses,6650 Inglewood Ave,Stockton,California
Imperial Valley College,380 E. Aten Road,Imperial,California
LA College International,3200 Wilshire Blvd. #400,Los Angeles,California
Interior Designers Institute,1061 Camelback Rd,Newport Beach,California
Irvine Valley College,5500 Irvine Center Drive,Irvine,California
ITT Technical Institute-National City,"401 Mile of Cars Way, Suite 100",National City,California
ITT Technical Institute-San Dimas,650 W. Cienega Ave.,San Dimas,California
ITT Technical Institute-Orange,"4000 W. Metropolitian Dr., Suite 100",Orange,California
Bellus Academy-El Cajon,1073 E Main St,El Cajon,California
John F Kennedy University,100 Ellinwood Way,Pleasant Hill,California
American Jewish University,15600 Mulholland Dr,Los Angeles,California
Reedley College,995 N Reed Ave,Reedley,California
Life Pacific College,1100 W. Covina Blvd.,San Dimas,California
The Art Institute of California-Argosy University San Diego,7650 Mission Valley Road,San Diego,California
University of La Verne,1950 Third St,La Verne,California
Laguna College of Art and Design,2222 Laguna Canyon Rd,Laguna Beach,California
Lake Tahoe Community College,One College Drive,South Lake Tahoe,California
Laney College,900 Fallon Sreet,Oakland,California
Lassen Community College,Hwy 139,Susanville,California
Life Chiropractic College West,25001 Industrial Blvd,Hayward,California
Lincoln University,401 15th Street,Oakland,California
Southern California Seminary,2075 E. Madison Avenue,El Cajon,California
La Sierra University,4500 Riverwalk Parkway,Riverside,California
Loma Linda University,11139 Anderson Street,Loma Linda,California
Long Beach City College,4901 E. Carson St.,Long Beach,California
Southern California University of Health Sciences,16200 East Amber Valley Drive,Whittier,California
Los Angeles Community College District Office,770 Wilshire Blvd,Los Angeles,California
Los Angeles Harbor College,1111 Figueroa Place,Wilmington,California
Los Angeles Pierce College,6201 Winnetka Ave,Woodland Hills,California
Los Angeles Southwest College,1600 W Imperial Hwy.,Los Angeles,California
Los Angeles Trade Technical College,400 W Washington Blvd,Los Angeles,California
Los Angeles Valley College,5800 Fulton Avenue,Valley Glen,California
The Master's College and Seminary,21726 Placerita Canyon Road,Santa Clarita,California
Los Angeles City College,855 N Vermont Ave,Los Angeles,California
Los Angeles County College of Nursing and Allied Health,1237 N. Mission Rd.,Los Angeles,California
Los Angeles Mission College,13356 Eldridge Avenue,Sylmar,California
Los Medanos College,2700 East Leland Road,Pittsburg,California
Los Rios Community College District Office,1919 Spanos Ct,Sacramento,California
The Art Institute of California-Argosy University San Francisco,1170 Market St,San Francisco,California
Loyola Marymount University,One Lmu Drive,Los Angeles,California
MTI College,5221 Madison Ave,Sacramento,California
Kaplan College-Sacramento,"4330 Watt Ave., Suite 400",Sacramento,California
Kaplan College-San Diego,9055 Balboa Avenue,San Diego,California
Kaplan College-Vista,2022 University Dr,Vista,California
College of Marin,835 College Ave,Kentfield,California
Marymount California University,30800 Palos Verdes Drive East,Rancho Palos Verdes,California
Mendocino College,1000 Hensley Creek Road,Ukiah,California
Menlo College,1000 El Camino Real,Atherton,California
Merced College,3600 M St,Merced,California
Merritt College,12500 Campus Dr,Oakland,California
Mills College,5000 MacArthur Blvd,Oakland,California
MiraCosta College,One Barnard Drive,Oceanside,California
Mission College,3000 Mission College Blvd,Santa Clara,California
Kaplan College-North Hollywood,"6180 Laurel Canyon Boulevard, Suite 101",North Hollywood,California
Modesto Junior College,435 College Ave,Modesto,California
Monterey Institute of International Studies,460 Pierce Street,Monterey,California
Monterey Peninsula College,980 Fremont St,Monterey,California
Moorpark College,7075 Campus Rd,Moorpark,California
Mt San Antonio College,1100 N Grand Ave,Walnut,California
Mount St Mary's College,12001 Chalon Rd,Los Angeles,California
Mt San Jacinto Community College District,1499 N. State St.,San Jacinto,California
Musicians Institute,6752 Hollywood Blvd.,Hollywood,California
Napa Valley College,2277 Napa-Vallejo Hwy,Napa,California
Everest College-Reseda,18040 Sherman Way Ste 400,Reseda,California
Everest College-LA Wilshire,3460 Wilshire Blvd Ste 500,Los Angeles,California
Everest College-San Bernardino,"217 E. Club Center Drive, Ste. A",San Bernardino,California
The National Hispanic University,14271 Story Rd,San Jose,California
National University,11255 North Torrey Pines Road,La Jolla,California
Naval Postgraduate School,1 University Circle,Monterey,California
Newschool of Architecture and Design,1249 F St,San Diego,California
North Orange County Community College District,1830 W. Romneya Drive,Anaheim,California
Northwestern Polytechnic University,47671 Westinghouse Drive,Fremont,California
Notre Dame de Namur University,1500 Ralston Ave,Belmont,California
Occidental College,1600 Campus Rd,Los Angeles,California
Ohlone College,43600 Mission Blvd,Fremont,California
Orange Coast College,2701 Fairview Road,Costa Mesa,California
Otis College of Art and Design,9045 Lincoln Blvd,Los Angeles,California
Oxnard College,4000 S Rose Ave,Oxnard,California
Hope International University,2500 E Nutwood Ave,Fullerton,California
Concorde Career College-San Diego,"4393 Imperial Avenue, Suite 100",San Diego,California
Palo Alto University,1791 Arastradero Rd,Palo Alto,California
Pacific Lutheran Theological Seminary,2770 Marin Ave,Berkeley,California
Pacific Oaks College,55 Eureka Street,Pasadena,California
Pacific School of Religion,1798 Scenic Ave,Berkeley,California
Pacific States University,3450 Wilshire Blvd. Suite 500,Los Angeles,California
Pacific Union College,One Angwin Ave,Angwin,California
University of the Pacific,3601 Pacific Ave,Stockton,California
Palo Verde College,One College Drive,Blythe,California
Palomar College,1140 W. Mission,San Marcos,California
Pasadena City College,1570 E Colorado Blvd.,Pasadena,California
Patten University,,,
Pepperdine University,24255 Pacific Coast Hwy,Malibu,California
Peralta Community College System Office,333 E Eighth St,Oakland,California
Pitzer College,1050 North Mills Avenue,Claremont,California
Platt College-San Diego,6250 El Cajon Blvd,San Diego,California
Point Loma Nazarene University,3900 Lomaland Dr,San Diego,California
Pomona College,550 N College Ave,Claremont,California
Porterville College,100 E College Ave,Porterville,California
Westwood College-South Bay,"19700 S. Vermont Avenue, Suite 100",Torrance,California
Santa Ana College,1530 W. 17th Street,Santa Ana,California
Pardee RAND Graduate School,1776 Main St,Santa Monica,California
University of Redlands,1200 E. Colton Ave,Redlands,California
College of the Redwoods,7351 Tompkins Hill Rd,Eureka,California
Rio Hondo College,3600 Workman Mill Rd,Whittier,California
Riverside City College,4800 Magnolia Avenue,Riverside,California
Argosy University-San Francisco Bay Area,1005 Atlantic Avenue,Alameda,California
Dongguk University-Los Angeles,440 Shatto Pl,Los Angeles,California
Sacramento City College,3835 Freeport Blvd,Sacramento,California
Saddleback College,28000 Marguerite Pky,Mission Viejo,California
Samuel Merritt University,3100 Telegraph Avenue,Oakland,California
San Diego Community College District-District Office,3375 Camino Del Rio S,San Diego,California
San Diego City College,1313 Park Boulevard,San Diego,California
Golf Academy of America-Carlsbad,"1950 Camino Vida Roble, Ste. 125",Carlsbad,California
San Diego Mesa College,7250 Mesa College Dr,San Diego,California
San Diego Miramar College,10440 Black Mountain Rd,San Diego,California
San Diego State University,5500 Campanile Dr,San Diego,California
University of San Diego,5998 Alcala Park,San Diego,California
San Francisco Art Institute,800 Chestnut St,San Francisco,California
San Francisco Conservatory of Music,50 Oak Street,San Francisco,California
San Francisco State University,1600 Holloway Ave,San Francisco,California
San Francisco Theological Seminary,105 Seminary Road,San Anselmo,California
University of San Francisco,2130 Fulton St,San Francisco,California
San Joaquin College of Law,901 Fifth St,Clovis,California
San Joaquin Delta College,5151 Pacific Ave,Stockton,California
San Joaquin Valley College-Visalia,8344 W Mineral King Ave,Visalia,California
San Joaquin Valley College-Bakersfield,201 New Stine Rd.,Bakersfield,California
